DELITOS;DESCRIPCION;COD;MINIMO;MAXIMO;PRESAÑO;PRESCRIBE
FALSEDAD PARA OBT PRUEBA;FALSEDAD PARA OBTENER PRUEBA DEHECHO VERDADERO ART. 228 C.P.;076;3M;2;5;1826
FALSEDAD PERS PARA LA;FALSEDAD PERSONAL PARA LA OBTENCION DE DOCUMENTO PUBLICO ART. 226 C.P.;078;6M;3;5;1826
FALSEDAD PERSONAL;296;077;MULTA;;5;1826
FALSIFICACION DE EFECTOS;280;079;1;6;6;2191
FALSIFICACION O USO FRAU;279;081;MULTA;;5;1826
FALSO TESTIMONIO;442;004;4;8;8;2922
FAVORECIM SERVIDO PUBLICO;322;435;3;5;5;1826
FAVORECIMI DE CONTRABANDO;320;425;1;5;5;1826
FAVORECIMIENTO;446;005;1;4;5;1826
FAVORECIMIENTO DE LA FUGA;449;006;5;8;8;2922
FAVORECIMIENTO DE VOTO FR;392;288;1;4;5;1826
FECUNDACION Y TRAFICO DE EMBRIONES;134;;1;3;5;1826
FRAUDE A RESOLUCION JUDIC;454;008;1;4;5;1826
FRAUDE AL SUFRAGANTE;388;289;1;4;5;1826
FRAUDE DE SUBVENCIONES;403A;;;;0;0
FRAUDE EN INSCRIPCION DE CEDULAS;389;;3;6;6;2191
FRAUDE PROCESAL;453;009;4;8;8;2922
FRAUDULENTA INTERNACION E;186;146;1;2;5;1826
FUGA DE PRESOS;448;010;3;6;6;2191
GENOCIDIO;101;;30;40;30;10957
GESTION INDEBIDA RECURSOS SOCIALES;260;;3;6;6;2191
HOMICIDIO;103;301;13;25;20;7305
HOMICIDIO AGRAVADO;103;;;;0;0
HOMICIDIO CULPOSO;109;302;2;6;6;2191
HOMICIDIO EN PERSONA PROTEGIDA;135;;30;40;20;7305
HOMICIDIO POR PIEDAD;106;305;1;3;5;1826
HOSTILIDAD MILITAR;456;;10;20;20;7305
HURTO;239;197;2;6;6;2191
HURTO AGRAVADO;241;205;1;9;9;3287
HURTO CALF AGRAV;240 241;206;2;12;12;4383
HURTO CALIFICADO;240;204;3;8;8;2922
ILICITA EXPLOTACION CIAL;303;182;1;4;5;1826
ILICITO APROVECHAMIENTO D;328;183;2;5;5;1826
IMITACION O SIMULACION DE ALIMENTOS;373;;2;6;6;2191
IMPEDIMENTO Y PERT. CEREMONIA RELIGIOSA;202;;MULTA;;5;1826
INASISTENCIA ALIMENTARIA;233;062;1;3;5;1826
INCENDIO;350;263;1;8;8;2922
INCESTO;237;063;1;4;5;1826
INCIT A INSUB MEDIOS PUBL;INCITACION A LA SUBORDINACION POR MEDIOS PUBLICOS ART. 28 LEY 29 DE 1944;113;3M;3;5;1826
INCITACION COMIS DELI MILIT;349;112;2;5;5;1826
INDUCCION A LA PROSTITUCI;213;170;2;4;5;1826
INFIDELIDAD A LOS DEBERES;445;011;1;4;5;1826
INJ POR VIAS DE HECHO;INJURIA POR VIAS DE HECHO ART. 319 C.P.;089;1;4;5;1826
INJ Y CALUMNIA INDIRECTA;222;090;1;4;5;1826
INJURIA;220;088;1;3;5;1826
INSEMIN ARTIF NO CONSENTI;187;147;2;6;6;2191
INSTIGACION A DELINQUIR;348;114;5;10;10;3652
INSTIGACION A LA GUERRA;458;248;10;20;20;7305
INSTIGACION O CONSTRENIMI;INSTIGACION CONSTREÑIMIENTO PARA INGRESO A GRUPOS TERRORISTAS ART. 6 DEC. 180 DE 1988;096;5;10;10;3652
INSTUC ENTRN AL TERRORI;INSTRUCCION Y ENTRANAMIENTO AL TERRORISMO ART. 15 DEC 180 DE 1988;116;8;14;14;5113
INTERCEP CORRESP OFICIAL;INTERCEPTACION DE CORRESPONDENCIA OFICIAL ART. 18 DEC. 180 DE 1988;123;3;6;5;1826
INTERES INDEBIDO CELEBRACION CONTRATO;409;027;4;12;12;4383
INTERVENCION POLITICA;422;028;MULTA;;5;1826
INTRODUCCION DE RESIDUOS NUCLEARES;361;;3;10;10;3652
INUDCC O AYUDA AL SUICIDIO;107;308;2;6;6;2191
INV DE TIERRAS O EDIFICAC;263;207;2;5;5;1826
INVACCION DE AREA DE IMPORTANCIA ECOLOGICA;337;;2;8;8;2922
IRRESPETO A CADAVERES;204;148;MULTA;;5;1826
LAVADO DE ACTIVOS;323;339;6;15;15;5477
LESIONES AL FETO;125;;2;4;5;1826
LESIONES CULPOSAS AL FETO;126;;1;2;5;1826
LESIONES DEFORMIDAD;113;;2;7;7;2557
LESIONES PERD. AN. O FUN. ORGANO O M.;116;;6;10;10;3652
LESIONES PERS CULPOSOS;120;318;1;3;5;1826
LESIONES PERS FINES TERR;LESIONES PERSONALES FINES TERRORISTAS ART. 31 DEC.180 DE 1988;125;2;4;5;1826
LESIONES PERSONALES INCAPACIDAD;111;317;1;2;5;1826
LESIONES PERT. FUNCIONAL;114;;3;8;8;2922
LESIONES PERT. PSIQUICA;115;;3;9;9;3287
MALTRATO CONSTITUTIVO DE;MALTRATO CONSTITUTIVO DE LESIONES PERSONALES ART. 23 L 294/96;327;?;10;10;3652
MALTRATO MEDIANTE RESTRIC;230;328;1;2;5;1826
MALVERSA DILAPIDAC BIENES;259;;1;2;5;1826
MALVERSA DILAPIDAC BIENES FAMILIARES;236;064;1;2;5;1826
MANEJO ILICITO DE MICROORGANISMOS NOCIVOS;330;;2;6;6;2191
MANIPULACION FRAUDULENTA ES INS REG NAL VAL INTER.;317;;2;6;6;2191
MANIPULACION GENETICA;132;;1;5;5;1826
MATRIMONIO ILEGAL;MATRIMONIO ILEGAL ART. 261 C.P.;061;6M;3;5;1826
MENDICIDAD TRAFICO DE MENORES;231;;1;5;5;1826
MENOSCABO DE LA INTEGRIDAD;455;249;20;30;20;7305
MODALIDAD CULPOSA DEL FAV;MODALIDAD CULPOSA DEL FAVORECIMIENTO DE LA FUGA ART.180 C.P.;007;6M;2;5;1826
MORA EN LA ENTREGA DE DOC;393;290;1;3;5;1826
MUERTE DE HIJO FRUTO DE A;108;322;4;6;6;2191
MUERTE EN AVERIGUACION;;;;;0;0
OBSTACUL. TAREAS SANITARIAS Y HUM;153;;3;6;6;2191
OBSTRUCCION DE DE OBRA;364;266;1;4;5;1826
OBTENCION DOCUMENTO PCO FALSO;288;;3;6;6;2191
Ocultamiento alt destr de emp;454b;;4;12;12;4383
OCULTAMIENTO RETEN CED;395;291;1;3;5;1826
OCULTAMIENTO, ALTE DESTRU DE EMP;;;;;0;0
OCUPACION ILICITA DE PARQ;OCUPACION ILICITA DE PARQUES Y ZONAS DE RESERVA FORESTAL ART. 243 C.P.;184;1;6;6;2191
OFENSA A DIPLOMATICOS;466;250;1;3;5;1826
OFRECIMIENTO ENGAÑOSO DE PRODUCTOS Y SERVICIOS;300;;1;3;5;1826
OFRECIMIENTO INSTRUMENTO PARA INTERCEPTAR COM;193;;MULTA;;5;1826
OMIS AVISO DE SECUESTRADO;OMISION DE AVISO DE UN SECUESTRADO ART. 10 LEY 40 DE 1993;235;6m;1;5;1826
OMIS INFORM EN SECUESTRO;OMISION DE INFORMES EN SECUESTRO ART. 9 LEY 40 DE 1993;236;1;5;5;1826
OMISION AGENTE RETENEDOR;402;547;3;6;6;2191
OMISION DE ACTO PROPIO EN;OMISION DE ACTO PROPIO EN DELITO DE EXTORSION O SECUESTRO ART. 33 LEY 40 DE 1993;331;2;10;10;3652
OMISION DE APOYO;424;029;1;4;5;1826
OMISION DE CONTROL;325;340;2;6;6;2191
OMISION DE DENUNCIA DE PARTICULAR;441;;1;3;5;1826
OMISION DE INFORMES SOBRE;OMISION DE INFORMES SOBRE ACTIVIDADES TERRORISTAS ART.4 DEC. 180 DE 1988;127;3;10;10;3652
